area_id,pg_zone,moco_zone,landuse,county,address,name_of_business_or_area,types,latitude,longitude,peak_hours_monday_start,peak_hours_monday_end,peak_hours_tuesday_start,peak_hours_tuesday_end,peak_hours_wednesday_start,peak_hours_wednesday_end,peak_hours_thursday_start,peak_hours_thursday_end,peak_hours_friday_start,peak_hours_friday_end,peak_hours_saturday_start,peak_hours_saturday_end,peak_hours_sunday_start,peak_hours_sunday_end,business_size_micro(<100_employees),business_size_small(100-1500_employees),business_size_medium(1500-2000_employees),business_size_large(2000+_employees),parking_lot,bus_stop_within_500m,train_stop_within_500m,side_walk_on_parcel,parking_lot_size_small(<100_spaces),parking_lot_size_medium(100-200_spaces),parking_lot_size_large(200+_spaces),street_lights,bike_paths_or_lane
,,,,Montgomery,"6711 Democracy Blvd, Bethesda, MD 20817, USA",Enterprise Rent-A-Car,car_rental,39.0223575,-77.1382598,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"10400 Auto Park Ave, Bethesda, MD 20817, USA",Jim Coleman Toyota,car_repair,39.0278253,-77.1463387,10,14,10,14,11,15,9,14,10,15,10,14,12,13,,,,,,True,False,,,,,,
,,,,Montgomery,"10211 Westlake Dr, Bethesda, MD 20817, USA",Shell,gas_station,39.0229237,-77.1496952,8,12,10,16,8,16,8,12,7,16,12,15,11,16,,,,,,True,False,,,,,,
,,,,Montgomery,"9400 Rockville Pike, Bethesda, MD 20814, USA",Temple Hill Baptist Church,church,39.0099457,-77.09818159999999,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"10814 Kenilworth Ave, Garrett Park, MD 20896, USA",Historic Garrett Park Town Hall,city_hall,39.03425379999999,-77.0951082,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"7111 Democracy Blvd, Bethesda, MD 20817, USA",Nordstrom,department_store,39.0230221,-77.1454006,12,17,11,18,11,18,12,18,12,18,13,17,13,17,,,,,,True,False,,,,,,
,,,,Montgomery,"XWX5+F3, Bethesda, MD 20814, USA",Navy Exchange Mini Mart & Gas,department_store,38.9987438,-77.0923688,,,,,,,,,,,,,,,,,,,,True,True,,,,,,
,,,,Montgomery,"Bethesda, MD 20892, USA",US Research Resources Natl Center,courthouse,39.0023604,-77.097455,,,,,,,,,,,,,,,,,,,,True,True,,,,,,
,,,,Montgomery,"7830 Old Georgetown Rd # 260, Bethesda, MD 20814, USA",Drs. Ingber & Prestipino,dentist,38.9990234,-77.1019254,,,,,,,,,,,,,,,,,,,,True,True,,,,,,
,,,,Montgomery,"7111 Democracy Blvd, Bethesda, MD 20817, USA",Nordstrom,department_store,39.0230221,-77.1454006,12,17,11,18,11,18,12,18,12,18,13,17,13,17,,,,,,True,False,,,,,,
,,,,Montgomery,"8600 Old Georgetown Rd, Bethesda, MD 20814, USA","Kimberly Zuzak, MD",doctor,38.9974266,-77.1104762,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"7809 Wisconsin Ave, Bethesda, MD 20814, USA",CVS,drugstore,38.9890399,-77.09478469999999,15,18,14,18,11,18,15,19,13,19,11,18,10,18,,,,,,True,False,,,,,,
,,,,Montgomery,"4938 Hampden Ln # 297, Bethesda, MD 20814, USA",Complete Electrical Systems,electrician,38.9824132,-77.09775549999999,,,,,,,,,,,,,,,,,,,,True,True,,,,,,
,,,,Montgomery,"4860 Bethesda Ave, Bethesda, MD 20814, USA",Apple Bethesda Row,electronics_store,38.980681,-77.097703,12,17,10,14,10,18,11,18,11,18,13,17,13,16,,,,,,True,True,,,,,,
,,,,Montgomery,"11430 Falls Rd, Potomac, MD 20854, USA",Rockville Fire Station 33,fire_station,39.04377639999999,-77.1935365,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"5000 Bradley Blvd, Bethesda, MD 20815, USA",Safeway,grocery_or_supermarket,38.9775639,-77.0989436,12,18,12,18,11,17,11,19,12,18,12,17,12,17,,,,,,True,False,,,,,,
,,,,Montgomery,"7557 Wisconsin Ave, Bethesda, MD 20814, USA",Robert A Pumphrey Funeral Homes,funeral_home,38.98575,-77.094083,,,,,,,,,,,,,,,,,,,,True,True,,,,,,
,,,,Montgomery,"7111 Westlake Terrace, Bethesda, MD 20817, USA",The Home Depot,hardware_store,39.02718249999999,-77.1445617,9,13,8,13,8,13,8,13,8,13,10,15,11,16,,,,,,True,False,,,,,,
,,,,Montgomery,"10201 Westlake Dr, Bethesda, MD 20817, USA",Exxon,gas_station,39.02292080000001,-77.1497296,8,12,9,18,8,16,8,12,9,13,14,19,11,16,,,,,,True,False,,,,,,
,,,,Montgomery,"8218 Wisconsin Ave, Bethesda, MD 20814, USA",Bethesda Travel Agent,travel_agency,38.9921386,-77.09634969999999,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"5001 Wilson Ln, Bethesda, MD 20814, USA",Citrine Salon Bethesda,beauty_salon,38.9874737,-77.0991052,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"7111 Westlake Terrace, Bethesda, MD 20817, USA",The Home Depot,hardware_store,39.02718249999999,-77.1445617,9,13,8,13,8,13,8,13,8,13,10,15,11,16,,,,,,True,False,,,,,,
,,,,Montgomery,"10310 Oaklyn Dr, Potomac, MD 20854, USA",ISKCON of DC,hindu_temple,39.0026367,-77.2139079,11,14,12,14,18,20,18,19,17,19,12,15,13,15,,,,,,False,False,,,,,,
,,,,Montgomery,"7111 Westlake Terrace, Bethesda, MD 20817, USA",The Home Depot,hardware_store,39.02718249999999,-77.1445617,9,13,8,13,8,13,8,13,8,13,10,15,11,16,,,,,,True,False,,,,,,
,,,,Montgomery,"8600 Old Georgetown Rd, Bethesda, MD 20814, USA",Suburban Hospital,hospital,38.9978202,-77.110435,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"6901 Rockledge Dr, Bethesda, MD 20817, USA",Financial Solutions Group,insurance_agency,39.028182,-77.140119,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"7101 Democracy Blvd # 2062, Bethesda, MD 20817, USA",PANDORA,jewelry_store,39.0243498,-77.14585170000001,16,16,14,15,12,12,14,15,18,18,13,15,13,15,,,,,,True,False,,,,,,
,,,,Montgomery,"10401 Grosvenor Pl, Rockville, MD 20852, USA",Grosvenor Park Dry Cleaners,laundry,39.02690399999999,-77.10633469999999,,,,,,,,,,,,,,,,,,,,True,True,,,,,,
,,,,Montgomery,"6701 Democracy Blvd #300, Bethesda, MD 20817, USA","Khatri Law Firm, LLC",lawyer,39.022386,-77.1367965,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"7400 Arlington Rd, Bethesda, MD 20814, USA",Connie Morella (Bethesda) Library,library,38.9833033,-77.09892599999999,15,17,10,13,14,17,14,17,11,16,11,16,11,16,,,,,,True,True,,,,,,
,,,,Montgomery,"11355 Woodglen Dr, Rockville, MD 20852, USA",Whole Foods Market,grocery_or_supermarket,39.04317399999999,-77.11313659999999,11,19,12,19,12,19,11,19,11,19,11,17,11,17,,,,,,True,True,,,,,,
,,,,Montgomery,"7701 Bradley Blvd, Bethesda, MD 20817, USA",Nea Attiki Press,local_government_office,39.0134644,-77.15688039999999,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"7103 Democracy Blvd, Bethesda, MD 20817, USA",The Keyless Shop,locksmith,39.02521889999999,-77.1446017,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"9600 Newbridge Dr, Potomac, MD 20854, USA",William F. Bolger Center,lodging,39.0217573,-77.18632269999999,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"8100 Wisconsin Ave, Bethesda, MD 20814, USA",Golden House Restaurant,meal_delivery,38.9910809,-77.09585059999999,10,12,11,12,11,12,20,20,12,12,12,14,21,21,,,,,,True,False,,,,,,
,,,,Montgomery,"11414 Rockville Pike, North Bethesda, MD 20852, USA",Seasons 52,bar,39.04262399999999,-77.111116,18,20,18,19,18,20,18,19,18,20,18,20,16,19,,,,,,True,False,,,,,,
,,,,Montgomery,"6601 Bradley Blvd, Bethesda, MD 20817, USA",Maqaame Ibrahim - Call First,mosque,39.0024607,-77.1316631,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"5000 Bradley Blvd, Bethesda, MD 20815, USA",Redbox,movie_rental,38.97765,-77.099103,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"7101 Democracy Blvd, Bethesda, MD 20817, USA",Westfield Montgomery,shopping_mall,39.0241209,-77.1459575,12,18,11,19,11,18,11,19,12,19,13,18,13,17,,,,,,True,False,,,,,,
,,,,Montgomery,"6701 Democracy Blvd #300, Bethesda, MD 20817, USA",Alpha Relocation Moving And Storage,moving_company,39.0224353,-77.13685269999999,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"10001 Old Georgetown Rd, Bethesda, MD 20814, USA",Ratner Museum,museum,39.0199806,-77.1212283,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"11810 Grand Park Ave, North Bethesda, MD 20852, USA",AMP by Strathmore,night_club,39.0495194,-77.11733629999999,,,,,,,,,,,,,,,,,,,,True,True,,,,,,
,,,,Montgomery,"5403 Waneta Rd, Bethesda, MD 20816, USA",Benchmark Painting & Carpentry of Potomac,painter,38.96283289999999,-77.1266516,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"10610 Westlake Dr, Rockville, MD 20852, USA",Cabin John Ice Rink,park,39.0306823,-77.1482941,16,19,17,20,17,20,16,20,16,21,11,19,11,17,,,,,,True,False,,,,,,
,,,,Montgomery,"4835 Cordell Ave, Bethesda, MD 20814, USA",Landmark Parking,parking,38.9905749,-77.0978033,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"5000 Nicholson Ct, Kensington, MD 20895, USA",Paw by Paw Dog Training,pet_store,39.0443532,-77.1038554,15,15,18,19,16,17,17,18,13,13,10,12,,,,,,,,True,False,,,,,,
,,,,Montgomery,"7142 Arlington Rd, Bethesda, MD 20814, USA",Giant Pharmacy,pharmacy,38.98152169999999,-77.09881899999999,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"6410 Rockledge Dr, Bethesda, MD 20817, USA","Marcie L. Schwartz, MPT",physiotherapist,39.0239646,-77.13368559999999,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"7111 Westlake Terrace, Bethesda, MD 20817, USA",Home Services at The Home Depot,painter,39.02720800000001,-77.14466999999999,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"6610 Rockledge Dr, Bethesda, MD 20892, USA",Office of Technology Development,police,39.0286835,-77.13299099999999,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"10421 Motor City Dr, Bethesda, MD 20817, USA",United States Postal Service,post_office,39.0289653,-77.14375729999999,9,11,14,16,9,12,9,11,12,14,9,11,,,,,,,,True,False,,,,,,
,,,,Montgomery,"8617 Chateau Dr, Potomac, MD 20854, USA",German International School Washington D.C.,secondary_school,39.0108476,-77.17756829999999,,,,,,,,,,,,,,,,,,,,False,False,,,,,,
,,,,Montgomery,"10411 Motor City Dr Suite #750, Bethesda, MD 20817, USA",Pinnacle Business Center,real_estate_agency,39.0278838,-77.1428119,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"Montgomery Mall, 7101 Democracy Blvd, Bethesda, MD 20817, USA",McDonald's,cafe,39.0253648,-77.1471122,12,15,17,18,11,13,9,10,10,14,17,19,12,14,,,,,,True,False,,,,,,
,,,,Montgomery,"9908 S Glen Rd, Potomac, MD 20854, USA",Banner Home Solutions,roofing_contractor,39.027051,-77.2059136,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"6400 Rock Spring Dr, Bethesda, MD 20814, USA",Walter Johnson High School,secondary_school,39.02570559999999,-77.12978679999999,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"6400 Rock Spring Dr, Bethesda, MD 20814, USA",Walter Johnson High School,secondary_school,39.02570559999999,-77.12978679999999,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"7111 Democracy Blvd, Bethesda, MD 20817, USA",Nordstrom,department_store,39.0230221,-77.1454006,12,17,11,18,11,18,12,18,12,18,13,17,13,17,,,,,,True,False,,,,,,
,,,,Montgomery,"7101 Democracy Blvd, Bethesda, MD 20817, USA",Westfield Montgomery,shopping_mall,39.0241209,-77.1459575,12,18,11,19,11,18,11,19,12,19,13,18,13,17,,,,,,True,False,,,,,,
,,,,Montgomery,"11140 Rockville Pike Suite 660, Rockville, MD 20852, USA","Beckerman Womenâ€™s Health: Tobie Beckerman, MD",spa,39.03984519999999,-77.1102282,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"10600 Westlake Dr, Rockville, MD 20852, USA",Bethesda Big Train Baseball,stadium,39.03024389999999,-77.1501796,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"10411 Motor City Dr #750, Bethesda, MD 20817, USA",General Documents Corporation,storage,39.0279949,-77.14288499999999,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"7111 Democracy Blvd, Bethesda, MD 20817, USA",Nordstrom,department_store,39.0230221,-77.1454006,12,17,11,18,11,18,12,18,12,18,13,17,13,17,,,,,,True,False,,,,,,
,,,,Montgomery,"Bethesda, MD 20894, USA",Medical Center,transit_station,38.9990844,-77.0978176,,,,,,,,,,,,,,,,,,,,True,True,,,,,,
,,,,Montgomery,"11355 Woodglen Dr, Rockville, MD 20852, USA",Whole Foods Market,grocery_or_supermarket,39.04317399999999,-77.11313659999999,11,19,12,19,12,19,11,19,11,19,11,17,11,17,,,,,,True,True,,,,,,
,,,,Montgomery,"6301 River Rd, Bethesda, MD 20817, USA",Beth Chai,synagogue,38.9768874,-77.12652090000002,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"Turkey Run Loop Rd, McLean, VA 22101, USA",Turkey Run Park,park,38.9629854,-77.1502561,8,9,14,15,8,11,11,12,7,9,10,13,8,10,,,,,,False,False,,,,,,
,,,,Montgomery,"Bethesda, MD 20817, USA",MacArthur Blvd & Wilson Ln,transit_station,38.972919,-77.14724,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"8218 Wisconsin Ave, Bethesda, MD 20814, USA",Bethesda Travel Agent,travel_agency,38.9921386,-77.09634969999999,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"4301 Jones Bridge Rd, Bethesda, MD 20814, USA",Uniformed Services University,university,39.0017776,-77.08642569999999,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"6800 Wisconsin Ave, Bethesda, MD 20815, USA",Banfield Pet Hospital,veterinary_care,38.9777195,-77.0913161,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
,,,,Montgomery,"7300 Macarthur Blvd, Glen Echo, MD 20812, USA",Glen Echo Park Aquarium,aquarium,38.9677869,-77.13924329999999,,,,,,,,,,,,,,,,,,,,True,False,,,,,,
